RiskID,AccountID,MaxLeverage,MarginCallLevel,StopOutLevel,MaxDailyLoss,MaxTradeSize,RiskLevel,CreatedAt,UpdatedAt
14ec39ac-9b84-4280-8eb2-44a3b4494f49,ec170421-2eed-4021-957c-a7efd05f8db8,50,0.64,0.47,14023.25,37.39,Medium,2023-10-21 16:19:29,2024-02-22 05:53:10
2cfeb14f-51f0-4eaf-be0b-7983d3641d07,b3de1345-a126-4066-aa57-2f6360c86069,30,0.99,0.74,4158.36,3.81,Low,2024-04-05 05:01:17,2024-09-27 06:09:28
bb5c4593-af18-4e38-bca5-8e26ab681ef0,0a1707b4-f227-49e5-8bbd-6cfc71dcdf8f,100,0.6,0.5,10685.93,18.12,Medium,2024-09-13 10:06:55,2024-09-26 07:13:44
414fe886-4590-4758-b05b-a4c68becf592,330d80c6-6cf8-494b-874a-66f743039d7f,20,0.84,0.71,2314.91,3.27,Low,2024-01-21 09:37:29,2024-02-07 02:42:39
16cca89d-bb74-4f71-874c-e04a83acb177,91872e50-852a-41ce-990c-3833b3e20733,200,0.39,0.38,73633.19,82.63,High,2023-02-02 22:12:38,2024-03-25 07:10:31
11432377-8d5e-4bab-be1a-00b1949838a1,e6b19820-7e5e-4bd8-a372-da239c79c2f0,20,0.86,0.78,4113.51,1.56,Low,2024-02-22 01:45:48,2024-04-09 19:05:34
70f1f240-dea8-4e74-bb3e-c53850e79af3,afff3b40-6026-4503-8a10-d3944100fa6c,20,0.92,0.8,1657.45,9.08,Low,2023-10-23 03:09:52,2024-03-09 01:15:00
98ecad4b-70e2-4942-9ecd-11bc55a67377,d79203b6-e427-431c-85e4-0454c8b7227f,10,0.8,0.79,4428.82,7.53,Low,2023-08-09 04:07:42,2024-07-03 05:22:01
089af271-c324-42d9-9ddb-a13feac07f49,b0fe7a3f-4d55-496d-aeb3-9f5e8acf7a24,100,0.75,0.51,6373.25,44.35,Medium,2023-04-23 18:22:13,2024-03-23 11:36:25
182fa104-eb6d-4b9e-92b5-ce7a79ef953d,c9c7b03f-1a7b-4315-815b-c78d8fe0a0b7,20,0.97,0.78,4377.87,6.05,Low,2024-01-10 15:44:04,2024-08-09 02:30:36
6e3ee72e-0846-4443-a9cf-3d973dcabf94,e35db9b7-6bc5-4018-99c9-1143791835b8,50,0.74,0.63,6347.42,22.91,Medium,2023-03-04 01:49:10,2023-08-15 13:47:26
21971305-2ecb-4871-8bce-c5394a7cda0f,79a77a7f-8fa3-4044-8f5e-7ef7c9e8ff45,30,0.81,0.79,1424.76,9.67,Low,2023-04-25 22:35:58,2023-07-01 18:12:35
d8d72294-85ef-48a2-8ddb-d89584b5bb82,004d1922-456e-4c9c-9169-9b22fcf253e4,100,0.7,0.49,8194.79,39.5,Medium,2022-11-11 14:20:25,2023-09-28 03:57:25
128731f8-d554-4038-b722-933ddf249fd9,e3467c51-47aa-456d-9a63-7d062a3beaa9,100,0.78,0.67,11116.68,11.41,Medium,2024-01-11 11:21:58,2024-05-19 10:54:05
e8a65ea4-49fa-41d2-8ba2-5cf2ec402447,1fba79f9-1ee8-4c46-b4e3-759dcdc9cc63,10,0.91,0.72,4184.39,9.48,Low,2023-03-03 09:09:27,2023-12-03 17:46:38
982cd209-9ea9-4e79-8840-d58589e6680f,2ca7e6dd-0981-40b0-aa09-0cd2de1dd086,100,0.68,0.55,6400.34,28.86,Medium,2023-07-30 17:38:07,2023-09-25 08:37:24
1d413e5d-19c4-4388-b265-6e7bad1e7e3d,4e96ba71-c30f-44d9-b8df-48c9ba79b7b6,100,0.74,0.45,16916.55,24.14,Medium,2024-06-01 22:47:25,2024-08-14 19:07:22
27d177ba-672b-420d-9b96-710e08640b72,3d2694ea-80f1-47d9-a303-37ce80432815,50,0.75,0.62,9879.16,13.41,Medium,2024-03-25 19:16:02,2024-09-06 20:40:19
eddf9e59-4aa3-4fec-aefa-2683f3727109,72ac3566-a8ce-4575-9dd3-198f6fe7d749,30,0.88,0.73,2560.91,9.63,Low,2022-11-22 16:15:25,2023-08-09 18:44:57
a5480de5-7fad-4668-afff-0aaf15e3167a,f41603ac-f747-4a90-91d7-5588b9cc49e1,20,0.82,0.76,1832.53,8.13,Low,2024-03-24 13:37:07,2024-09-10 05:57:40
e0b4dcc8-ebb5-46d7-9069-f10635acbe71,96401aed-479d-4b17-ba37-bf8d5423d2fe,30,0.97,0.73,3374.89,8.09,Low,2022-12-25 07:15:08,2024-03-14 21:38:08
6602c743-7268-4b45-b42f-f49d91d41959,00444c8c-93ba-4422-a5f8-d17989ad18a8,100,0.5,0.65,11576.51,31.02,Medium,2024-04-10 15:26:05,2024-05-04 07:01:25
c88c1cd2-e71a-4269-b778-be0fb7a9e857,53f4c297-b3b9-4b59-a491-cf06efebba4c,10,0.99,0.7,1859.69,7.57,Low,2023-05-30 18:25:58,2024-08-03 11:40:09
4098886b-ed3a-45a3-848a-d821e1dbb7f8,1a174552-fafe-4aa2-a64d-91841a348aa4,20,0.93,0.74,2116.69,1.45,Low,2024-03-24 16:03:55,2024-08-02 16:07:15
b046fbd2-6621-4b47-b09c-23e66ea3e4c3,3f5729e8-5ded-44e3-a5a9-4e156592d608,50,0.79,0.63,9318.76,18.35,Medium,2023-03-10 04:16:48,2024-04-06 16:12:34
8906f406-860a-40ba-b44f-c0cc7bac39ce,9dc0cdf6-5063-48c9-a713-6a234829b2a9,300,0.38,0.2,34428.08,58.13,High,2023-01-04 19:54:27,2023-10-25 22:28:37
8e6c2216-e660-4abd-a854-ce6ba14e4b2d,1ddfa414-a397-4574-bfcb-a7574254a3ce,10,0.96,0.76,4728.8,1.94,Low,2024-04-06 11:14:54,2024-09-27 09:21:57
